,Tweet,Sentimen,lower case,cleaned,formalized,no stopwords,stemmed
74,"Kehadiran UU PDP Picu Kebiasaan Baru di Masyarakat Agar Lebih Sadar Jaga Data Pribadi
 
 @PlateJohnny: Pengaturan dalam Undang-Undang PDP akan menjadikan perlindungan data pribadi yang kuat.
 @kemkominfo https://t.co/LPoHF0M01N",positif,"kehadiran uu pdp picu kebiasaan baru di masyarakat agar lebih sadar jaga data pribadi
 
 @platejohnny: pengaturan dalam undang-undang pdp akan menjadikan perlindungan data pribadi yang kuat.
 @kemkominfo https://t.co/lpohf0m01n",kehadiran uu pdp picu kebiasaan baru di masyarakat agar lebih sadar jaga data pribadi pengaturan dalam undang undang pdp akan menjadikan perlindungan data pribadi yang kuat.,kehadiran uu pdp picu kebiasaan baru di masyarakat agar lebih sadar jaga data pribadi pengaturan dalam undang undang pdp akan menjadikan perlindungan data pribadi yang kuat.,kehadiran uu pdp picu kebiasaan masyarakat sadar jaga data pribadi pengaturan undang undang pdp menjadikan perlindungan data pribadi kuat .,hadir uu pdp picu biasa masyarakat sadar jaga data pribadi atur undang undang pdp jadi lindung data pribadi kuat
75,"DPR RI Sahkan RUU PDP Menjadi Undang-Undang
 
 UU ini diharapkan mampu menjadi awal yang baik dalam menyelesaikan permasalahan kebocoran data pribadi di Indonesia.
 @PlateJohnny 
 @kemkominfo 
 @DPR_RI https://t.co/6RP5MbBouL",positif,"dpr ri sahkan ruu pdp menjadi undang-undang
 
 uu ini diharapkan mampu menjadi awal yang baik dalam menyelesaikan permasalahan kebocoran data pribadi di indonesia.
 @platejohnny 
 @kemkominfo 
 @dpr_ri https://t.co/6rp5mbboul",dpr ri sahkan ruu pdp menjadi undang undang uu ini diharapkan mampu menjadi awal yang baik dalam menyelesaikan permasalahan kebocoran data pribadi di indonesia.,dpr ri sahkan ruu pdp menjadi undang undang uu ini diharapkan mampu menjadi awal yang baik dalam menyelesaikan permasalahan kebocoran data pribadi di indonesia.,dpr ri sahkan ruu pdp undang undang uu diharapkan menyelesaikan permasalahan kebocoran data pribadi indonesia .,dpr ri sahkan ruu pdp undang undang uu harap selesai masalah bocor data pribadi indonesia
76,"@hyang_wisnu @PlateJohnny @kemkominfo @Aryprasetyo85 @miicies @zhymme @Marbot_Udien @DS_yantie @03__nakula @delArdian_ Menkominfo Johnny G Plate berujar bahwa pengaturan dalam Undang-Undang PDP akan menjadikan perlindungan data pribadi yang kuat.
 @PlateJohnny @kemkominfo",positif,"@hyang_wisnu @platejohnny @kemkominfo @aryprasetyo85 @miicies @zhymme @marbot_udien @ds_yantie @03__nakula @delardian_ menkominfo johnny g plate berujar bahwa pengaturan dalam undang-undang pdp akan menjadikan perlindungan data pribadi yang kuat.
 @platejohnny @kemkominfo",menkominfo johnny g plate berujar bahwa pengaturan dalam undang undang pdp akan menjadikan perlindungan data pribadi yang kuat.,menkominfo johnny g plate berujar bahwa pengaturan dalam undang undang pdp akan menjadikan perlindungan data pribadi yang kuat.,menkominfo johnny g plate pengaturan undang undang pdp menjadikan perlindungan data pribadi kuat .,menkominfo johnny g plate atur undang undang pdp jadi lindung data pribadi kuat
77,"@hyang_wisnu @PlateJohnny @kemkominfo @jokowi Menurut Menkominfo Johnny G. Plate, PSE swasta juga wajib menjaga dan melindungi data pribadi masyarakat sesuai dengan UU ITE serta PP Nomor 71 Tahun 2019 tentang Penyelenggaraan Sistem dan Transaksi Elektronik.
 @PlateJohnny @kemkominfo",netral,"@hyang_wisnu @platejohnny @kemkominfo @jokowi menurut menkominfo johnny g. plate, pse swasta juga wajib menjaga dan melindungi data pribadi masyarakat sesuai dengan uu ite serta pp nomor 71 tahun 2019 tentang penyelenggaraan sistem dan transaksi elektronik.
 @platejohnny @kemkominfo","menurut menkominfo johnny g. plate, pse swasta juga wajib menjaga dan melindungi data pribadi masyarakat sesuai dengan uu ite serta pp nomor tahun tentang penyelenggaraan sistem dan transaksi elektronik.","menurut menkominfo johnny g. plate, pse swasta juga wajib menjaga dan melindungi data pribadi masyarakat sesuai dengan uu ite serta pulang pergi nomor tahun tentang penyelenggaraan sistem dan transaksi elektronik.","menkominfo johnny g. plate , pse swasta wajib menjaga melindungi data pribadi masyarakat sesuai uu ite pulang pergi nomor penyelenggaraan sistem transaksi elektronik .",menkominfo johnny g plate pse swasta wajib jaga lindung data pribadi masyarakat sesuai uu ite pulang pergi nomor selenggara sistem transaksi elektronik
78,"@hyang_wisnu @PlateJohnny @kemkominfo @Aryprasetyo85 @miicies @zhymme @Marbot_Udien @DS_yantie @03__nakula @delArdian_ Sob, Menkominfo Johnny G Plate mengatakan kehadiran Undang-Undang tentang Perlindungan Data Pribadi (PDP) yang baru saja disahkan DPR akan memicu kebiasaan baru di masyarakat.
 @PlateJohnny @kemkominfo",positif,"@hyang_wisnu @platejohnny @kemkominfo @aryprasetyo85 @miicies @zhymme @marbot_udien @ds_yantie @03__nakula @delardian_ sob, menkominfo johnny g plate mengatakan kehadiran undang-undang tentang perlindungan data pribadi (pdp) yang baru saja disahkan dpr akan memicu kebiasaan baru di masyarakat.
 @platejohnny @kemkominfo","sob, menkominfo johnny g plate mengatakan kehadiran undang undang tentang perlindungan data pribadi pdp yang baru saja disahkan dpr akan memicu kebiasaan baru di masyarakat.","sob, menkominfo johnny g plate mengatakan kehadiran undang undang tentang perlindungan data pribadi pdp yang baru saja disahkan dpr akan memicu kebiasaan baru di masyarakat.","sob , menkominfo johnny g plate kehadiran undang undang perlindungan data pribadi pdp disahkan dpr memicu kebiasaan masyarakat .",sob menkominfo johnny g plate hadir undang undang lindung data pribadi pdp sah dpr picu biasa masyarakat
79,"@hyang_wisnu @PlateJohnny @Aryprasetyo85 @kemkominfo @miicies @Marbot_Udien @zhymme @03__nakula @DS_yantie @delArdian_ Alhamdulillah 🤲🤲🤲
 
 Rancangan Undang-Undang (RUU) Pelindungan Data Pribadi (PDP) telah resmi disahkan menjadi Undang-Undang (UU) dalam Rapat Paripurna DPR RI Masa Persidangan I Tahun Sidang 2022-2023.
 @PlateJohnny @kemkominfo",positif,"@hyang_wisnu @platejohnny @aryprasetyo85 @kemkominfo @miicies @marbot_udien @zhymme @03__nakula @ds_yantie @delardian_ alhamdulillah 🤲🤲🤲
 
 rancangan undang-undang (ruu) pelindungan data pribadi (pdp) telah resmi disahkan menjadi undang-undang (uu) dalam rapat paripurna dpr ri masa persidangan i tahun sidang 2022-2023.
 @platejohnny @kemkominfo",alhamdulillah rancangan undang undang ruu pelindungan data pribadi pdp telah resmi disahkan menjadi undang undang uu dalam rapat paripurna dpr ri masa persidangan i tahun sidang .,alhamdulillah rancangan undang undang ruu pelindungan data pribadi pdp telah resmi disahkan menjadi undang undang uu dalam rapat paripurna dpr ri masa persidangan i tahun sidang .,alhamdulillah rancangan undang undang ruu pelindungan data pribadi pdp resmi disahkan undang undang uu rapat paripurna dpr ri persidangan i sidang .,alhamdulillah rancang undang undang ruu lindung data pribadi pdp resmi sah undang undang uu rapat paripurna dpr ri sidang i sidang
80,"DPR Sahkan RUU PDP Jadi Undang-Undang Hari Ini. 
 
 @DS_yantie @PlateJohnny @kemkominfo
 https://t.co/JEweuGDanN https://t.co/yfUruVgFYN",netral,"dpr sahkan ruu pdp jadi undang-undang hari ini. 
 
 @ds_yantie @platejohnny @kemkominfo
 https://t.co/jeweugdann https://t.co/yfuruvgfyn",dpr sahkan ruu pdp jadi undang undang hari ini.,dpr sahkan ruu pdp jadi undang undang hari ini.,dpr sahkan ruu pdp undang undang .,dpr sahkan ruu pdp undang undang
81,"@hyang_wisnu @kemkominfo Keberadaan UU PDP, tegas Menkominfo Johnny G Plate akan menjamin hak warga negara sesuai amanat Undang-Undang Dasar Negara Republik Indonesia Tahun 1945.
 @PlateJohnny @kemkominfo",positif,"@hyang_wisnu @kemkominfo keberadaan uu pdp, tegas menkominfo johnny g plate akan menjamin hak warga negara sesuai amanat undang-undang dasar negara republik indonesia tahun 1945.
 @platejohnny @kemkominfo","keberadaan uu pdp, tegas menkominfo johnny g plate akan menjamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia tahun .","keberadaan uu pdp, tegas menkominfo johnny g plate akan menjamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia tahun .","keberadaan uu pdp , menkominfo johnny g plate menjamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia .",ada uu pdp menkominfo johnny g plate jamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia
82,"@hyang_wisnu @PlateJohnny @kemkominfo @jokowi PSE swasta juga wajib menjaga dan melindungi data pribadi masyarakat sesuai dengan Undang-Undang Informasi dan Transaksi Elektronik (UU ITE) serta Peraturan Pemerintah (PP) Nomor 71 Tahun 2019 tentang Penyelenggaraan Sistem dan Transaksi Elektronik.
 @kemkominfo @PlateJohnny",positif,"@hyang_wisnu @platejohnny @kemkominfo @jokowi pse swasta juga wajib menjaga dan melindungi data pribadi masyarakat sesuai dengan undang-undang informasi dan transaksi elektronik (uu ite) serta peraturan pemerintah (pp) nomor 71 tahun 2019 tentang penyelenggaraan sistem dan transaksi elektronik.
 @kemkominfo @platejohnny",pse swasta juga wajib menjaga dan melindungi data pribadi masyarakat sesuai dengan undang undang informasi dan transaksi elektronik uu ite serta peraturan pemerintah pp nomor tahun tentang penyelenggaraan sistem dan transaksi elektronik.,pse swasta juga wajib menjaga dan melindungi data pribadi masyarakat sesuai dengan undang undang informasi dan transaksi elektronik uu ite serta peraturan pemerintah pulang pergi nomor tahun tentang penyelenggaraan sistem dan transaksi elektronik.,pse swasta wajib menjaga melindungi data pribadi masyarakat sesuai undang undang informasi transaksi elektronik uu ite peraturan pemerintah pulang pergi nomor penyelenggaraan sistem transaksi elektronik .,pse swasta wajib jaga lindung data pribadi masyarakat sesuai undang undang informasi transaksi elektronik uu ite atur perintah pulang pergi nomor selenggara sistem transaksi elektronik
83,"DPR Sahkan RUU PDP Jadi Undang-Undang Hari Ini. 
 
 @PlateJohnny @kemkominfo
 https://t.co/nvEnmLEjCt https://t.co/aCFMFRM1t5",netral,"dpr sahkan ruu pdp jadi undang-undang hari ini. 
 
 @platejohnny @kemkominfo
 https://t.co/nvenmlejct https://t.co/acfmfrm1t5",dpr sahkan ruu pdp jadi undang undang hari ini.,dpr sahkan ruu pdp jadi undang undang hari ini.,dpr sahkan ruu pdp undang undang .,dpr sahkan ruu pdp undang undang
84,"@hyang_wisnu @kemkominfo DPR RI telah mengesahkan Rancangan Undang-Undang Pelindung Data Pribadi (PDP) menjadi undang-undang. Indonesia, kata Menkominfo Johnny G Plate memiliki payung hukum pelindungan data pribadi.
 @PlateJohnny @kemkominfo",netral,"@hyang_wisnu @kemkominfo dpr ri telah mengesahkan rancangan undang-undang pelindung data pribadi (pdp) menjadi undang-undang. indonesia, kata menkominfo johnny g plate memiliki payung hukum pelindungan data pribadi.
 @platejohnny @kemkominfo","dpr ri telah mengesahkan rancangan undang undang pelindung data pribadi pdp menjadi undang undang. indonesia, kata menkominfo johnny g plate memiliki payung hukum pelindungan data pribadi.","dpr ri telah mengesahkan rancangan undang undang pelindung data pribadi pdp menjadi undang undang. indonesia, kata menkominfo johnny g plate memiliki payung hukum pelindungan data pribadi.","dpr ri mengesahkan rancangan undang undang pelindung data pribadi pdp undang undang . indonesia , menkominfo johnny g plate memiliki payung hukum pelindungan data pribadi .",dpr ri kesah rancang undang undang lindung data pribadi pdp undang undang indonesia menkominfo johnny g plate milik payung hukum lindung data pribadi
85,"Keberadaan UU PDP, dikatakan Menkominfo Johnny G Plate akan menjamin hak warga negara sesuai amanat Undang-Undang Dasar Negara Republik Indonesia Tahun 1945.
 @PlateJohnny @kemkominfo https://t.co/ONZPoha2mx",positif,"keberadaan uu pdp, dikatakan menkominfo johnny g plate akan menjamin hak warga negara sesuai amanat undang-undang dasar negara republik indonesia tahun 1945.
 @platejohnny @kemkominfo https://t.co/onzpoha2mx","keberadaan uu pdp, dikatakan menkominfo johnny g plate akan menjamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia tahun .","keberadaan uu pdp, dikatakan menkominfo johnny g plate akan menjamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia tahun .","keberadaan uu pdp , menkominfo johnny g plate menjamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia .",ada uu pdp menkominfo johnny g plate jamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia
86,@hyang_wisnu @kemkominfo @PlateJohnny @jokowi @Aryprasetyo85 @03__nakula @Marbot_Udien @miicies @zhymme @DS_yantie @delArdian_ @farrel27 inilah undang undang yg selama ini kita tunggu2. @PlateJohnny @kemkominfo,positif,@hyang_wisnu @kemkominfo @platejohnny @jokowi @aryprasetyo85 @03__nakula @marbot_udien @miicies @zhymme @ds_yantie @delardian_ @farrel27 inilah undang undang yg selama ini kita tunggu2. @platejohnny @kemkominfo,inilah undang undang yg selama ini kita tunggu .,inilah undang undang yang selama ini kita tunggu .,undang undang tunggu .,undang undang tunggu
87,"Menkominfo @PlateJohnny menegaskan, keberadaan UU PDP akan menjamin hak warga negara sesuai amanat Undang-Undang Dasar Negara Republik Indonesia Tahun 1945.
 @jokowi @kemkominfo
 https://t.co/bNNsfeFjm4",positif,"menkominfo @platejohnny menegaskan, keberadaan uu pdp akan menjamin hak warga negara sesuai amanat undang-undang dasar negara republik indonesia tahun 1945.
 @jokowi @kemkominfo
 https://t.co/bnnsfefjm4","menkominfo menegaskan, keberadaan uu pdp akan menjamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia tahun .","menkominfo menegaskan, keberadaan uu pdp akan menjamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia tahun .","menkominfo , keberadaan uu pdp menjamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia .",menkominfo ada uu pdp jamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia
88,@hyang_wisnu @PlateJohnny @Aryprasetyo85 @kemkominfo @miicies @Marbot_Udien @zhymme @03__nakula @DS_yantie @delArdian_ inilah undang undang yg kita tunggu tunggu. @PlateJohnny @kemkominfo,positif,@hyang_wisnu @platejohnny @aryprasetyo85 @kemkominfo @miicies @marbot_udien @zhymme @03__nakula @ds_yantie @delardian_ inilah undang undang yg kita tunggu tunggu. @platejohnny @kemkominfo,inilah undang undang yg kita tunggu tunggu.,inilah undang undang yang kita tunggu tunggu.,undang undang tunggu tunggu .,undang undang tunggu tunggu
89,"Kehadiran UU PDP Picu Kebiasaan Baru di Masyarakat Agar Lebih Sadar Jaga Data Pribadi
 
 Menkominfo @PlateJohnny mengatakan kehadiran Undang-Undang tentang Perlindungan Data Pribadi (PDP) yang baru saja disahkan DPR akan memicu kebiasaan baru di masyarakat. https://t.co/rldgCOQEJu",positif,"kehadiran uu pdp picu kebiasaan baru di masyarakat agar lebih sadar jaga data pribadi
 
 menkominfo @platejohnny mengatakan kehadiran undang-undang tentang perlindungan data pribadi (pdp) yang baru saja disahkan dpr akan memicu kebiasaan baru di masyarakat. https://t.co/rldgcoqeju",kehadiran uu pdp picu kebiasaan baru di masyarakat agar lebih sadar jaga data pribadi menkominfo mengatakan kehadiran undang undang tentang perlindungan data pribadi pdp yang baru saja disahkan dpr akan memicu kebiasaan baru di masyarakat.,kehadiran uu pdp picu kebiasaan baru di masyarakat agar lebih sadar jaga data pribadi menkominfo mengatakan kehadiran undang undang tentang perlindungan data pribadi pdp yang baru saja disahkan dpr akan memicu kebiasaan baru di masyarakat.,kehadiran uu pdp picu kebiasaan masyarakat sadar jaga data pribadi menkominfo kehadiran undang undang perlindungan data pribadi pdp disahkan dpr memicu kebiasaan masyarakat .,hadir uu pdp picu biasa masyarakat sadar jaga data pribadi menkominfo hadir undang undang lindung data pribadi pdp sah dpr picu biasa masyarakat
90,"Pengaturan dalam Undang-Undang PDP akan menjadikan perlindungan data pribadi yang kuat.
 
 @kemkominfo 
 @PlateJohnny
  https://t.co/A1az4TElyd",positif,"pengaturan dalam undang-undang pdp akan menjadikan perlindungan data pribadi yang kuat.
 
 @kemkominfo 
 @platejohnny
  https://t.co/a1az4telyd",pengaturan dalam undang undang pdp akan menjadikan perlindungan data pribadi yang kuat.,pengaturan dalam undang undang pdp akan menjadikan perlindungan data pribadi yang kuat.,pengaturan undang undang pdp menjadikan perlindungan data pribadi kuat .,atur undang undang pdp jadi lindung data pribadi kuat
91,"Alhamdulillah,
 RUU Pelindungan Data Pribadi (PDP) telah resmi disahkan menjadi Undang-Undang dalam Rapat Paripurna DPR RI Masa Persidangan I Tahun Sidang 2022-2023.
 
 @kemkominfo 
 @PlateJohnny https://t.co/xFP7DBuvVo",positif,"alhamdulillah,
 ruu pelindungan data pribadi (pdp) telah resmi disahkan menjadi undang-undang dalam rapat paripurna dpr ri masa persidangan i tahun sidang 2022-2023.
 
 @kemkominfo 
 @platejohnny https://t.co/xfp7dbuvvo","alhamdulillah, ruu pelindungan data pribadi pdp telah resmi disahkan menjadi undang undang dalam rapat paripurna dpr ri masa persidangan i tahun sidang .","alhamdulillah, ruu pelindungan data pribadi pdp telah resmi disahkan menjadi undang undang dalam rapat paripurna dpr ri masa persidangan i tahun sidang .","alhamdulillah , ruu pelindungan data pribadi pdp resmi disahkan undang undang rapat paripurna dpr ri persidangan i sidang .",alhamdulillah ruu lindung data pribadi pdp resmi sah undang undang rapat paripurna dpr ri sidang i sidang
92,"RUU PDP akhirnya disahkan sebagai UU 
 
 Disahkannya RUU PDP menjadi Undang-Undang hari ini, menandai era baru dalam tata kelola data pribadi di ruang digital 
 @jokowi
 @PlateJohnny
 @kemkominfo 
 @DPR_RI 
 @puanmaharani_ri https://t.co/RwHrYMPug3",positif,"ruu pdp akhirnya disahkan sebagai uu 
 
 disahkannya ruu pdp menjadi undang-undang hari ini, menandai era baru dalam tata kelola data pribadi di ruang digital 
 @jokowi
 @platejohnny
 @kemkominfo 
 @dpr_ri 
 @puanmaharani_ri https://t.co/rwhrympug3","ruu pdp akhirnya disahkan sebagai uu disahkannya ruu pdp menjadi undang undang hari ini, menandai era baru dalam tata kelola data pribadi di ruang digital","ruu pdp akhirnya disahkan sebagai uu disahkannya ruu pdp menjadi undang undang hari ini, menandai era baru dalam tata kelola data pribadi di ruang digital","ruu pdp disahkan uu disahkannya ruu pdp undang undang , menandai era tata kelola data pribadi ruang digital",ruu pdp sah uu sah ruu pdp undang undang tanda era tata kelola data pribadi ruang digital
93,"Johnny berujar bahwa pengaturan dalam Undang-Undang PDP akan menjadikan perlindungan data pribadi yang kuat.
 @PlateJohnny 
 @kemkominfo https://t.co/7Y5Fr0RLLK",positif,"johnny berujar bahwa pengaturan dalam undang-undang pdp akan menjadikan perlindungan data pribadi yang kuat.
 @platejohnny 
 @kemkominfo https://t.co/7y5fr0rllk",johnny berujar bahwa pengaturan dalam undang undang pdp akan menjadikan perlindungan data pribadi yang kuat.,johnny berujar bahwa pengaturan dalam undang undang pdp akan menjadikan perlindungan data pribadi yang kuat.,johnny pengaturan undang undang pdp menjadikan perlindungan data pribadi kuat .,johnny atur undang undang pdp jadi lindung data pribadi kuat
94,"Menkominfo Johnny G Plate mengatakan kehadiran Undang-Undang tentang Perlindungan Data Pribadi (PDP) yang baru saja disahkan DPR akan memicu kebiasaan baru di masyarakat.
 @PlateJohnny 
 @kemkominfo https://t.co/3naeUVIKZP",positif,"menkominfo johnny g plate mengatakan kehadiran undang-undang tentang perlindungan data pribadi (pdp) yang baru saja disahkan dpr akan memicu kebiasaan baru di masyarakat.
 @platejohnny 
 @kemkominfo https://t.co/3naeuvikzp",menkominfo johnny g plate mengatakan kehadiran undang undang tentang perlindungan data pribadi pdp yang baru saja disahkan dpr akan memicu kebiasaan baru di masyarakat.,menkominfo johnny g plate mengatakan kehadiran undang undang tentang perlindungan data pribadi pdp yang baru saja disahkan dpr akan memicu kebiasaan baru di masyarakat.,menkominfo johnny g plate kehadiran undang undang perlindungan data pribadi pdp disahkan dpr memicu kebiasaan masyarakat .,menkominfo johnny g plate hadir undang undang lindung data pribadi pdp sah dpr picu biasa masyarakat
95,@hyang_wisnu @PlateJohnny @Aryprasetyo85 @kemkominfo @miicies @Marbot_Udien @zhymme @03__nakula @DS_yantie @delArdian_ DPR Sahkan RUU PDP Jadi Undang-Undang @kemkominfo @PlateJohnny,netral,@hyang_wisnu @platejohnny @aryprasetyo85 @kemkominfo @miicies @marbot_udien @zhymme @03__nakula @ds_yantie @delardian_ dpr sahkan ruu pdp jadi undang-undang @kemkominfo @platejohnny,dpr sahkan ruu pdp jadi undang undang,dpr sahkan ruu pdp jadi undang undang,dpr sahkan ruu pdp undang undang,dpr sahkan ruu pdp undang undang
96,"Tok tok tok , @DPR_RI Sahkan RUU PDP Jadi Undang-Undang. 
 
 @PlateJohnny Mewakili presiden Republik Indonesia @jokowi untuk menyampaikan terima kasih besar-besarnya atas keputusan yang baru saja dilakukan dalam pengesahan UU PDP https://t.co/ZTODaLLzKP",positif,"tok tok tok , @dpr_ri sahkan ruu pdp jadi undang-undang. 
 
 @platejohnny mewakili presiden republik indonesia @jokowi untuk menyampaikan terima kasih besar-besarnya atas keputusan yang baru saja dilakukan dalam pengesahan uu pdp https://t.co/ztodallzkp","tok tok tok , sahkan ruu pdp jadi undang undang. mewakili presiden republik indonesia untuk menyampaikan terima kasih besar besarnya atas keputusan yang baru saja dilakukan dalam pengesahan uu pdp","tok tok tok , sahkan ruu pdp jadi undang undang. mewakili presiden republik indonesia untuk menyampaikan terima kasih besar besarnya atas keputusan yang baru saja dilakukan dalam pengesahan uu pdp","tok tok tok , sahkan ruu pdp undang undang . mewakili presiden republik indonesia terima kasih besarnya keputusan pengesahan uu pdp",tok tok tok sahkan ruu pdp undang undang wakil presiden republik indonesia terima kasih besar putus kesah uu pdp
97,"Rancangan Undang-Undang (RUU) Pelindungan Data Pribadi (PDP) telah resmi disahkan menjadi Undang-Undang (UU) dalam Rapat Paripurna DPR RI Masa Persidangan I Tahun Sidang 2022-2023.
 @kemkominfo @jokowi @PlateJohnny https://t.co/8pi4Fov7LK",netral,"rancangan undang-undang (ruu) pelindungan data pribadi (pdp) telah resmi disahkan menjadi undang-undang (uu) dalam rapat paripurna dpr ri masa persidangan i tahun sidang 2022-2023.
 @kemkominfo @jokowi @platejohnny https://t.co/8pi4fov7lk",rancangan undang undang ruu pelindungan data pribadi pdp telah resmi disahkan menjadi undang undang uu dalam rapat paripurna dpr ri masa persidangan i tahun sidang .,rancangan undang undang ruu pelindungan data pribadi pdp telah resmi disahkan menjadi undang undang uu dalam rapat paripurna dpr ri masa persidangan i tahun sidang .,rancangan undang undang ruu pelindungan data pribadi pdp resmi disahkan undang undang uu rapat paripurna dpr ri persidangan i sidang .,rancang undang undang ruu lindung data pribadi pdp resmi sah undang undang uu rapat paripurna dpr ri sidang i sidang
98,"@PlateJohnny berujar bahwa pengaturan dalam Undang-Undang PDP akan menjadikan perlindungan data pribadi yang kuat.
 
 ""Sebagai kebiasan baru, new habit di masyarakat seiring dengan perkembangan dan kemajuan teknologi yang pesat,""
 @jokowi @kemkominfo https://t.co/SxllUTHJH9",positif,"@platejohnny berujar bahwa pengaturan dalam undang-undang pdp akan menjadikan perlindungan data pribadi yang kuat.
 
 ""sebagai kebiasan baru, new habit di masyarakat seiring dengan perkembangan dan kemajuan teknologi yang pesat,""
 @jokowi @kemkominfo https://t.co/sxlluthjh9","berujar bahwa pengaturan dalam undang undang pdp akan menjadikan perlindungan data pribadi yang kuat. sebagai kebiasan baru, new habit di masyarakat seiring dengan perkembangan dan kemajuan teknologi yang pesat,","berujar bahwa pengaturan dalam undang undang pdp akan menjadikan perlindungan data pribadi yang kuat. sebagai kebiasan baru, new habit di masyarakat seiring dengan perkembangan dan kemajuan teknologi yang pesat,","pengaturan undang undang pdp menjadikan perlindungan data pribadi kuat . kebiasan , new habit masyarakat seiring perkembangan kemajuan teknologi pesat ,",atur undang undang pdp jadi lindung data pribadi kuat bias new habit masyarakat iring kembang maju teknologi pesat
99,"Menteri Komunikasi dan Informatika (Menkominfo) Johnny G Plate mengatakan kehadiran Undang-Undang tentang Perlindungan Data Pribadi (PDP) yang baru saja disahkan DPR akan memicu kebiasaan baru di masyarakat.
 @kemkominfo @jokowi @PlateJohnny https://t.co/dom8Afb02c",positif,"menteri komunikasi dan informatika (menkominfo) johnny g plate mengatakan kehadiran undang-undang tentang perlindungan data pribadi (pdp) yang baru saja disahkan dpr akan memicu kebiasaan baru di masyarakat.
 @kemkominfo @jokowi @platejohnny https://t.co/dom8afb02c",menteri komunikasi dan informatika menkominfo johnny g plate mengatakan kehadiran undang undang tentang perlindungan data pribadi pdp yang baru saja disahkan dpr akan memicu kebiasaan baru di masyarakat.,menteri komunikasi dan informatika menkominfo johnny g plate mengatakan kehadiran undang undang tentang perlindungan data pribadi pdp yang baru saja disahkan dpr akan memicu kebiasaan baru di masyarakat.,menteri komunikasi informatika menkominfo johnny g plate kehadiran undang undang perlindungan data pribadi pdp disahkan dpr memicu kebiasaan masyarakat .,menteri komunikasi informatika menkominfo johnny g plate hadir undang undang lindung data pribadi pdp sah dpr picu biasa masyarakat
100,"@hyang_wisnu @kemkominfo @PlateJohnny @jokowi @Aryprasetyo85 @03__nakula @Marbot_Udien @miicies @zhymme @DS_yantie @delArdian_ @farrel27 Hasil rapat Badan Musyawarah (Bamus) dan rapat pimpinan (Rapim) DPR, kata Puan Maharani memutuskan membawa RUU PDP ke Rapat Paripurna besok (hari ini) untuk disahkan sebagai undang-undang.
 @PlateJohnny @kemkominfo",netral,"@hyang_wisnu @kemkominfo @platejohnny @jokowi @aryprasetyo85 @03__nakula @marbot_udien @miicies @zhymme @ds_yantie @delardian_ @farrel27 hasil rapat badan musyawarah (bamus) dan rapat pimpinan (rapim) dpr, kata puan maharani memutuskan membawa ruu pdp ke rapat paripurna besok (hari ini) untuk disahkan sebagai undang-undang.
 @platejohnny @kemkominfo","hasil rapat badan musyawarah bamus dan rapat pimpinan rapim dpr, kata puan maharani memutuskan membawa ruu pdp ke rapat paripurna besok hari ini untuk disahkan sebagai undang undang.","hasil rapat badan musyawarah bamus dan rapat pimpinan rapim dpr, kata puan maharani memutuskan membawa ruu pdp ke rapat paripurna besok hari ini untuk disahkan sebagai undang undang.","hasil rapat badan musyawarah bamus rapat pimpinan rapim dpr , puan maharani memutuskan membawa ruu pdp rapat paripurna besok disahkan undang undang .",hasil rapat badan musyawarah bamus rapat pimpin rapim dpr puan maharani putus bawa ruu pdp rapat paripurna besok sah undang undang
101,"Ketua DPR Puan Maharani :
 
 ""Hasil rapat Badan Musyawarah (Bamus) dan rapat pimpinan (Rapim) DPR memutuskan membawa RUU PDP ke Rapat Paripurna [hari ini] untuk disahkan sebagai Undang Undang""
 
 @PlateJohnny @jokowi @kemkominfo https://t.co/AA5nXvbrtw",netral,"ketua dpr puan maharani :
 
 ""hasil rapat badan musyawarah (bamus) dan rapat pimpinan (rapim) dpr memutuskan membawa ruu pdp ke rapat paripurna [hari ini] untuk disahkan sebagai undang undang""
 
 @platejohnny @jokowi @kemkominfo https://t.co/aa5nxvbrtw",ketua dpr puan maharani hasil rapat badan musyawarah bamus dan rapat pimpinan rapim dpr memutuskan membawa ruu pdp ke rapat paripurna hari ini untuk disahkan sebagai undang undang,ketua dpr puan maharani hasil rapat badan musyawarah bamus dan rapat pimpinan rapim dpr memutuskan membawa ruu pdp ke rapat paripurna hari ini untuk disahkan sebagai undang undang,ketua dpr puan maharani hasil rapat badan musyawarah bamus rapat pimpinan rapim dpr memutuskan membawa ruu pdp rapat paripurna disahkan undang undang,ketua dpr puan maharani hasil rapat badan musyawarah bamus rapat pimpin rapim dpr putus bawa ruu pdp rapat paripurna sah undang undang
